mechanism,rate,method,MAE,MSE,RMSE,R2
BASELINE,0,none,45.331151247024536,3373.412391330824,58.081084625984936,0.4799863387729172
MAR,10,drop,47.33495655059814,3508.542943926202,59.23295488092926,0.4591558783230344
MAR,10,knn,46.03230075621873,3431.112516471377,58.57569902674126,0.35239444256536556
MAR,10,mean,47.55644067485681,3630.4745974679217,60.2534197989452,0.3147658334844038
MAR,10,median,46.298935665173474,3427.3103184841775,58.54323460899797,0.3531120886743626
MAR,10,mice,46.11246143298203,3428.0054981371695,58.54917162639596,0.3529808769450674
MAR,20,drop,44.16593401196977,3337.9480229661526,57.77497748131238,0.44753465956087823
MAR,20,knn,46.99097686939025,3435.403374384011,58.61231418724235,0.35158456430662455
MAR,20,mean,49.1839009402843,3699.304836631035,60.82191082686432,0.30177446546962683
MAR,20,median,47.82966386602166,3598.376482333527,59.98646916041589,0.32082419433512543
MAR,20,mice,45.808658728438814,3270.7169045834553,57.1901818897567,0.38266832287331065
MAR,30,drop,49.634895632343905,4033.318771527125,63.50841496626353,0.24443319991175982
MAR,30,knn,46.20951478936699,3346.499182486275,57.84893415168749,0.3683647918496782
MAR,30,mean,47.9204061272439,3531.91232067186,59.42989416675635,0.3333689768963791
MAR,30,median,47.116464722022585,3442.9174115564574,58.67637865066706,0.3501663268666436
MAR,30,mice,48.71127242184757,3592.7010862646694,59.93914485763597,0.32189539733916295
MAR,50,drop,49.92907511393229,4320.45210015683,65.73014605306176,0.1445070935687336
MAR,50,knn,47.542762584900586,3624.097204038239,60.200475114721804,0.31596953502644975
MAR,50,mean,50.83960783883427,3970.0616278157863,63.00842505424006,0.25067045712170466
MAR,50,median,48.74163449748178,3799.499737709834,61.640082233152754,0.2828631722801006
MAR,50,mice,49.45452765132604,3816.3833052195896,61.77688325919,0.2796764822207827
MAR,70,drop,72.60568760059498,8965.357153474337,94.68556993266893,-0.9458421975067453
MAR,70,knn,49.37074875563718,3543.824407479149,59.53002945975375,0.33112062928900377
MAR,70,mean,51.67318155524436,3842.5015416229066,61.987914480347754,0.2747467939741919
MAR,70,median,49.68945994002096,3661.244175912856,60.50821577201609,0.3089582273784539
MAR,70,mice,47.84048311897878,3450.40171724672,58.74012016711168,0.3487537010972217
MCAR,10,drop,46.97346901893616,3378.177274288059,58.12208938336662,0.4059809115814462
MCAR,10,knn,47.366857464393874,3513.63829023041,59.275950352823614,0.3368181099731292
MCAR,10,mean,46.22242565369338,3368.4903720326256,58.03869719448073,0.3642140633333597
MCAR,10,median,46.871353663755265,3553.6502664632267,59.61250092441372,0.32926604688923977
MCAR,10,mice,48.84710097580813,3765.461714843242,61.36335807990989,0.2892876811432379
MCAR,20,drop,44.216518670740264,3132.554858620335,55.96923135634734,0.46107556977065733
MCAR,20,knn,45.16046374031667,3247.8554053078274,56.989958811248734,0.3869833180566835
MCAR,20,mean,44.83170970102375,3322.717406081483,57.64301697587908,0.37285348480028124
MCAR,20,median,46.9281005859375,3590.9909521312456,59.92487757293498,0.3222181767185762
MCAR,20,mice,48.73569981435711,3791.717144683651,61.576920552132606,0.28433209831234607
MCAR,30,drop,54.308049848002774,5383.763874263756,73.37413627610043,0.163512030274248
MCAR,30,knn,47.8459239916855,3587.3143067029127,59.89419259580108,0.32291212540159797
MCAR,30,mean,46.941085129641415,3540.1132561760915,59.49885088113964,0.3318210907856184
MCAR,30,median,49.794330211167924,3924.5975413704664,62.64660837882979,0.2592515791059983
MCAR,30,mice,49.37990287180697,3932.32717047994,62.708270351524924,0.25779264975169325
MCAR,50,drop,59.15309168497721,5116.955328231667,71.53289682538843,0.056135894219479954
MCAR,50,knn,45.80708981631847,3314.464334716943,57.57138468646505,0.3744112112974226
MCAR,50,mean,44.70880632721976,3182.2564561263384,56.41149223452911,0.3993647960314991
MCAR,50,median,45.33850714865695,3370.6111550292935,58.056964741788676,0.36381377600726306
MCAR,50,mice,46.88395099425584,3435.307537023309,58.61149662842017,0.35160265313556927
MCAR,70,drop,86.928762294628,11028.092201636717,105.01472373737273,-1.5662640866359099
MCAR,70,knn,46.72537368602967,3549.7616953971115,59.57987659769959,0.3299999954906938
MCAR,70,mean,47.28201101067361,3627.4264846216333,60.228120380945256,0.3153411497439167
MCAR,70,median,45.935478296172754,3465.4770956147213,58.86830297889282,0.3459082978163093
MCAR,70,mice,45.96990863928634,3523.5745844676308,59.35970505711455,0.33494268346425227
MNAR,10,drop,49.0969302767799,3697.893480417005,60.8103073534167,0.36462175178083844
MNAR,10,knn,47.74302759063378,3551.9405524414224,59.598158968557264,0.3295887469746579
MNAR,10,mean,47.02411685900742,3473.374231080771,58.93533940753011,0.34441775246372264
MNAR,10,median,48.29681319333194,3689.1233144943985,60.738153696786,0.30369617753449685
MNAR,10,mice,46.01838679795855,3412.2085746737657,58.414112803960016,0.35596246830243583
MNAR,20,drop,47.87224324544271,3803.2354061996766,61.67037705576055,0.32484066549277846
MNAR,20,knn,48.09595682379905,3587.664047136134,59.89711217693332,0.3228461136205427
MNAR,20,mean,47.69953116941988,3583.9162635993175,59.865818825096824,0.32355348927052585
MNAR,20,median,45.96134237225136,3353.9712020386214,57.91348031364219,0.36695448502816475
MNAR,20,mice,46.79740022809318,3464.792793686402,58.86249054946963,0.3460374564287463
MNAR,30,drop,43.97278514661287,3350.2182714527735,57.88107006140068,0.2710502111087376
MNAR,30,knn,46.79484253786923,3445.5058201767447,58.69843115600914,0.3496777775114819
MNAR,30,mean,46.69752245270804,3309.7344995843196,57.53029201720012,0.3753039443404027
MNAR,30,median,46.30027518111668,3340.906146436206,57.80057219817297,0.3694204498065562
MNAR,30,mice,46.92165104726727,3449.478085016157,58.732257618928266,0.34892803212328605
MNAR,50,drop,47.88581831795829,3838.1232061532883,61.95258837331406,0.3218375523762683
MNAR,50,knn,45.45689203498069,3360.534784732409,57.97011975778909,0.3657156411812278
MNAR,50,mean,46.926490912276705,3510.2261738517554,59.247161736675245,0.3374621301032831
MNAR,50,median,49.129077611344584,3660.895412105674,60.5053337492297,0.30902405482616335
MNAR,50,mice,49.51814570051901,3831.8247435937938,61.901734576615816,0.2767619869199398
MNAR,70,drop,55.5483074522855,5115.546799240434,71.52305082447499,0.11462869124733743
MNAR,70,knn,47.19606138079354,3484.248435503381,59.027522694954605,0.34236530003525933
MNAR,70,mean,45.76960570088933,3262.480976837456,57.11813176949554,0.3842228135970437
MNAR,70,median,45.25264277083151,3114.5665307967965,55.80830162974677,0.4121409354368104
MNAR,70,mice,45.28441114104196,3175.4488543706548,56.351121145640526,0.4006496972723119
